Id,Label
1,4
2,2
3,1
4,5
5,5
6,3
7,3
8,0
9,2
10,5
11,2
12,3
13,2
14,5
15,2
16,2
17,4
18,4
19,0
20,0
21,3
22,3
23,3
24,0
25,1
26,2
27,5
28,2
29,4
30,4
31,3
32,2
33,5
34,0
35,5
36,4
37,4
38,5
39,4
40,5
41,2
42,3
43,1
44,1
45,5
46,4
47,1
48,5
49,3
50,3
51,3
52,2
53,4
54,3
55,2
56,1
57,3
58,1
59,3
60,2
61,0
62,4
63,1
64,5
65,1
66,4
67,1
68,5
69,3
70,3
71,2
72,2
73,4
74,3
75,2
76,2
77,1
78,4
79,5
80,0
81,4
82,1
83,5
84,1
85,4
86,3
87,5
88,2
89,4
90,3
91,1
92,1
93,3
94,4
95,5
96,2
97,5
98,0
99,1
100,2
101,5
102,5
103,2
104,4
105,2
106,3
107,5
108,0
109,2
110,3
111,1
112,2
113,5
114,1
115,4
116,4
117,3
118,1
119,3
120,2
121,4
122,3
123,2
124,2
125,2
126,2
127,2
128,2
129,0
130,2
131,4
132,1
133,4
134,3
135,5
136,4
137,3
138,5
139,3
140,5
141,3
142,1
143,3
144,2
145,5
146,4
147,4
148,4
149,5
150,3
151,3
152,4
153,3
154,4
155,3
156,5
157,5
158,1
159,5
160,2
161,1
162,5
163,0
164,5
165,2
166,1
167,4
168,1
169,4
170,2
171,3
172,4
173,4
174,1
175,2
176,5
177,2
178,4
179,0
180,2
181,3
182,3
183,2
184,5
185,5
186,3
187,4
188,1
189,2
190,5
191,0
192,3
193,0
194,5
195,2
196,5
197,1
198,4
199,3
200,5
201,1
202,4
203,3
204,3
205,0
206,3
207,0
208,1
209,1
210,4
211,1
212,5
213,3
214,5
215,2
216,2
217,3
218,5
219,4
220,5
221,0
222,0
223,4
224,2
225,4
226,1
227,1
228,0
229,1
230,3
231,5
232,5
233,5
234,5
235,0
236,4
237,3
238,0
239,4
240,2
241,3
242,3
243,3
244,2
245,2
246,5
247,5
248,5
249,1
250,3
251,3
252,3
253,1
254,1
255,3
256,0
257,2
258,3
259,3
260,1
261,0
262,3
263,4
264,0
265,2
266,5
267,1
268,1
269,2
270,3
271,3
272,0
273,3
274,2
275,2
276,3
277,5
278,4
279,0
280,4
281,5
282,3
283,4
284,2
285,1
286,0
287,5
288,4
289,2
290,4
291,5
292,3
293,4
294,5
295,0
296,3
297,4
298,1
299,0
300,5
301,0
302,1
303,3
304,3
305,3
306,2
307,4
308,3
309,5
310,5
311,5
312,0
313,2
314,2
315,5
316,2
317,2
318,1
319,1
320,1
321,5
322,3
323,1
324,4
325,4
326,0
327,0
328,1
329,5
330,2
331,3
332,2
333,5
334,2
335,2
336,5
337,5
338,0
339,2
340,5
341,1
342,4
343,0
344,3
345,4
346,3
347,0
348,4
349,3
350,1
351,4
352,4
353,2
354,2
355,2
356,0
357,5
358,0
359,1
360,5
361,5
362,1
363,4
364,3
365,3
366,1
367,3
368,4
369,4
370,1
371,5
372,2
373,4
374,4
375,0
376,1
377,5
378,4
379,4
380,4
381,3
382,4
383,1
384,3
385,3
386,4
387,0
388,3
389,4
390,4
391,5
392,4
393,4
394,1
395,4
396,5
397,4
398,1
399,5
400,3
401,1
402,4
403,5
404,5
405,1
406,4
407,4
408,4
409,2
410,4
411,3
412,3
413,3
414,3
415,3
416,5
417,5
418,1
419,2
420,0
421,1
422,4
423,3
424,1
425,2
426,5
427,0
428,2
